Unnamed: 0,elementId,activity_name,lifecycle:transition,start_timestamp,end_timestamp,case_id,resource,agent
0,173697_A_SUBMITTED_0,A_SUBMITTED,COMPLETE,2011-10-01 08:11:08.866000+00:00,2011-10-01 08:11:08.866000+00:00,173697,AA,0
1,173697_A_PARTLYSUBMITTED_1,A_PARTLYSUBMITTED,COMPLETE,2011-10-01 08:11:09.035000+00:00,2011-10-01 08:11:09.035000+00:00,173697,AA,0
2,173697_A_DECLINED_2,A_DECLINED,COMPLETE,2011-10-01 08:11:46.420000+00:00,2011-10-01 08:11:46.420000+00:00,173697,AA,0
3,173700_A_SUBMITTED_3,A_SUBMITTED,COMPLETE,2011-10-01 08:15:39.894000+00:00,2011-10-01 08:15:39.894000+00:00,173700,AA,0
4,173700_A_PARTLYSUBMITTED_4,A_PARTLYSUBMITTED,COMPLETE,2011-10-01 08:15:40.102000+00:00,2011-10-01 08:15:40.102000+00:00,173700,AA,0
5,173700_A_DECLINED_5,A_DECLINED,COMPLETE,2011-10-01 08:16:21.037000+00:00,2011-10-01 08:16:21.037000+00:00,173700,AA,0
6,173703_A_SUBMITTED_6,A_SUBMITTED,COMPLETE,2011-10-01 09:45:25.806000+00:00,2011-10-01 09:45:25.806000+00:00,173703,AA,0
7,173703_A_PARTLYSUBMITTED_7,A_PARTLYSUBMITTED,COMPLETE,2011-10-01 09:45:25.981000+00:00,2011-10-01 09:45:25.981000+00:00,173703,AA,0
8,173703_A_PREACCEPTED_8,A_PREACCEPTED,COMPLETE,2011-10-01 09:46:18.211000+00:00,2011-10-01 09:46:18.211000+00:00,173703,AA,0
9,173703_W_Completeren aanvraag_9,W_Completeren aanvraag,COMPLETE,2011-10-01 11:37:46.748000+00:00,2011-10-01 11:40:24.141000+00:00,173703,AS,18
10,173703_A_CANCELLED_10,A_CANCELLED,COMPLETE,2011-10-01 13:02:11.068000+00:00,2011-10-01 13:02:11.068000+00:00,173703,AS,18
11,173703_W_Completeren aanvraag_11,W_Completeren aanvraag,COMPLETE,2011-10-01 12:40:26.958000+00:00,2011-10-01 13:02:12.557000+00:00,173703,AS,18
12,173709_A_SUBMITTED_12,A_SUBMITTED,COMPLETE,2011-10-01 09:57:42.994000+00:00,2011-10-01 09:57:42.994000+00:00,173709,AA,0
13,173709_A_PARTLYSUBMITTED_13,A_PARTLYSUBMITTED,COMPLETE,2011-10-01 09:57:43.182000+00:00,2011-10-01 09:57:43.182000+00:00,173709,AA,0
14,173709_A_PREACCEPTED_14,A_PREACCEPTED,COMPLETE,2011-10-01 09:58:27.038000+00:00,2011-10-01 09:58:27.038000+00:00,173709,AA,0
15,173709_W_Completeren aanvraag_15,W_Completeren aanvraag,COMPLETE,2011-10-01 10:26:42.203000+00:00,2011-10-01 10:27:07.853000+00:00,173709,AS,18
16,173709_W_Completeren aanvraag_16,W_Completeren aanvraag,COMPLETE,2011-10-01 11:40:40.141000+00:00,2011-10-01 11:43:02.623000+00:00,173709,AS,18
17,173709_W_Completeren aanvraag_17,W_Completeren aanvraag,COMPLETE,2011-10-10 17:42:24.738000+00:00,2011-10-10 17:43:13.290000+00:00,173709,BC,28
18,173709_W_Completeren aanvraag_18,W_Completeren aanvraag,COMPLETE,2011-11-01 09:15:08.331000+00:00,2011-11-01 09:15:08.331000+00:00,173709,BC,28
19,173709_A_CANCELLED_19,A_CANCELLED,COMPLETE,2011-11-01 09:15:08.387000+00:00,2011-11-01 09:15:08.387000+00:00,173709,AA,0
20,173712_A_SUBMITTED_20,A_SUBMITTED,COMPLETE,2011-10-01 09:58:30.533000+00:00,2011-10-01 09:58:30.533000+00:00,173712,AA,0
21,173712_A_PARTLYSUBMITTED_21,A_PARTLYSUBMITTED,COMPLETE,2011-10-01 09:58:30.678000+00:00,2011-10-01 09:58:30.678000+00:00,173712,AA,0
22,173712_A_PREACCEPTED_22,A_PREACCEPTED,COMPLETE,2011-10-01 10:10:24.737000+00:00,2011-10-01 10:10:24.737000+00:00,173712,AS,18
23,173712_W_Afhandelen leads_23,W_Afhandelen leads,COMPLETE,2011-10-01 10:08:36.700000+00:00,2011-10-01 10:10:25.759000+00:00,173712,AS,18
24,173712_W_Completeren aanvraag_24,W_Completeren aanvraag,COMPLETE,2011-10-01 12:59:13.844000+00:00,2011-10-01 13:03:35.216000+00:00,173712,BI,34
25,173712_W_Completeren aanvraag_25,W_Completeren aanvraag,COMPLETE,2011-10-03 11:16:05.035000+00:00,2011-10-03 11:17:29.105000+00:00,173712,BQ,42
26,173712_A_CANCELLED_26,A_CANCELLED,COMPLETE,2011-10-03 14:42:53.820000+00:00,2011-10-03 14:42:53.820000+00:00,173712,BQ,42
27,173712_W_Completeren aanvraag_27,W_Completeren aanvraag,COMPLETE,2011-10-03 14:39:34.962000+00:00,2011-10-03 14:42:55.584000+00:00,173712,BQ,42
28,173727_A_SUBMITTED_28,A_SUBMITTED,COMPLETE,2011-10-01 12:08:46.663000+00:00,2011-10-01 12:08:46.663000+00:00,173727,AA,0
29,173727_A_PARTLYSUBMITTED_29,A_PARTLYSUBMITTED,COMPLETE,2011-10-01 12:08:46.803000+00:00,2011-10-01 12:08:46.803000+00:00,173727,AA,0
30,173727_A_DECLINED_30,A_DECLINED,COMPLETE,2011-10-01 12:09:30.362000+00:00,2011-10-01 12:09:30.362000+00:00,173727,AA,0
31,173733_A_SUBMITTED_31,A_SUBMITTED,COMPLETE,2011-10-01 12:39:34.037000+00:00,2011-10-01 12:39:34.037000+00:00,173733,AA,0
32,173733_A_PARTLYSUBMITTED_32,A_PARTLYSUBMITTED,COMPLETE,2011-10-01 12:39:34.130000+00:00,2011-10-01 12:39:34.130000+00:00,173733,AA,0
33,173733_A_DECLINED_33,A_DECLINED,COMPLETE,2011-10-01 14:54:53.037000+00:00,2011-10-01 14:54:53.037000+00:00,173733,BA,26
34,173733_W_Afhandelen leads_34,W_Afhandelen leads,COMPLETE,2011-10-01 14:54:11.886000+00:00,2011-10-01 14:54:56.346000+00:00,173733,BA,26
35,173757_A_SUBMITTED_35,A_SUBMITTED,COMPLETE,2011-10-01 15:02:58.635000+00:00,2011-10-01 15:02:58.635000+00:00,173757,AA,0
36,173757_A_PARTLYSUBMITTED_36,A_PARTLYSUBMITTED,COMPLETE,2011-10-01 15:02:58.837000+00:00,2011-10-01 15:02:58.837000+00:00,173757,AA,0
37,173757_A_DECLINED_37,A_DECLINED,COMPLETE,2011-10-01 15:03:36.223000+00:00,2011-10-01 15:03:36.223000+00:00,173757,AA,0
38,173763_A_SUBMITTED_38,A_SUBMITTED,COMPLETE,2011-10-01 16:09:22.741000+00:00,2011-10-01 16:09:22.741000+00:00,173763,AA,0
39,173763_A_PARTLYSUBMITTED_39,A_PARTLYSUBMITTED,COMPLETE,2011-10-01 16:09:23.366000+00:00,2011-10-01 16:09:23.366000+00:00,173763,AA,0
40,173763_A_DECLINED_40,A_DECLINED,COMPLETE,2011-10-01 16:38:40.609000+00:00,2011-10-01 16:38:40.609000+00:00,173763,BA,26
41,173763_W_Afhandelen leads_41,W_Afhandelen leads,COMPLETE,2011-10-01 16:36:40.854000+00:00,2011-10-01 16:38:43.770000+00:00,173763,BA,26
42,173769_A_SUBMITTED_42,A_SUBMITTED,COMPLETE,2011-10-01 16:34:46.838000+00:00,2011-10-01 16:34:46.838000+00:00,173769,AA,0
43,173769_A_PARTLYSUBMITTED_43,A_PARTLYSUBMITTED,COMPLETE,2011-10-01 16:34:46.971000+00:00,2011-10-01 16:34:46.971000+00:00,173769,AA,0
44,173769_A_DECLINED_44,A_DECLINED,COMPLETE,2011-10-01 16:35:23.337000+00:00,2011-10-01 16:35:23.337000+00:00,173769,AA,0
45,173772_A_SUBMITTED_45,A_SUBMITTED,COMPLETE,2011-10-01 16:39:55.798000+00:00,2011-10-01 16:39:55.798000+00:00,173772,AA,0
46,173772_A_PARTLYSUBMITTED_46,A_PARTLYSUBMITTED,COMPLETE,2011-10-01 16:39:55.898000+00:00,2011-10-01 16:39:55.898000+00:00,173772,AA,0
47,173772_A_DECLINED_47,A_DECLINED,COMPLETE,2011-10-01 16:40:31.075000+00:00,2011-10-01 16:40:31.075000+00:00,173772,AA,0
48,173781_A_SUBMITTED_48,A_SUBMITTED,COMPLETE,2011-10-01 18:10:34.289000+00:00,2011-10-01 18:10:34.289000+00:00,173781,AA,0
49,173781_A_PARTLYSUBMITTED_49,A_PARTLYSUBMITTED,COMPLETE,2011-10-01 18:10:34.403000+00:00,2011-10-01 18:10:34.403000+00:00,173781,AA,0
50,173781_A_PREACCEPTED_50,A_PREACCEPTED,COMPLETE,2011-10-01 18:11:13.866000+00:00,2011-10-01 18:11:13.866000+00:00,173781,AA,0
51,173781_A_DECLINED_51,A_DECLINED,COMPLETE,2011-10-03 09:24:47.145000+00:00,2011-10-03 09:24:47.145000+00:00,173781,BQ,42
52,173781_W_Completeren aanvraag_52,W_Completeren aanvraag,COMPLETE,2011-10-03 09:14:50.846000+00:00,2011-10-03 09:25:12.137000+00:00,173781,BQ,42
53,173796_A_SUBMITTED_53,A_SUBMITTED,COMPLETE,2011-10-01 20:19:11.828000+00:00,2011-10-01 20:19:11.828000+00:00,173796,AA,0
54,173796_A_PARTLYSUBMITTED_54,A_PARTLYSUBMITTED,COMPLETE,2011-10-01 20:19:12.321000+00:00,2011-10-01 20:19:12.321000+00:00,173796,AA,0
55,173796_A_PREACCEPTED_55,A_PREACCEPTED,COMPLETE,2011-10-01 20:19:54.267000+00:00,2011-10-01 20:19:54.267000+00:00,173796,AA,0
56,173796_W_Completeren aanvraag_56,W_Completeren aanvraag,COMPLETE,2011-10-03 09:29:59.323000+00:00,2011-10-03 09:32:18.835000+00:00,173796,BQ,42
57,173796_A_ACCEPTED_57,A_ACCEPTED,COMPLETE,2011-10-03 11:07:36.401000+00:00,2011-10-03 11:07:36.401000+00:00,173796,BE,30
58,173796_O_SELECTED_58,O_SELECTED,COMPLETE,2011-10-03 11:15:53.537000+00:00,2011-10-03 11:15:53.537000+00:00,173796,BE,30
59,173796_A_FINALIZED_59,A_FINALIZED,COMPLETE,2011-10-03 11:15:53.537000+00:00,2011-10-03 11:15:53.537000+00:00,173796,BE,30
60,173796_O_CREATED_60,O_CREATED,COMPLETE,2011-10-03 11:16:42.008000+00:00,2011-10-03 11:16:42.008000+00:00,173796,BE,30
61,173796_O_SENT_61,O_SENT,COMPLETE,2011-10-03 11:16:42.037000+00:00,2011-10-03 11:16:42.037000+00:00,173796,BE,30
62,173796_W_Completeren aanvraag_62,W_Completeren aanvraag,COMPLETE,2011-10-03 11:01:14.687000+00:00,2011-10-03 11:16:43.451000+00:00,173796,BE,30
63,173796_W_Nabellen offertes_63,W_Nabellen offertes,COMPLETE,2011-10-10 17:23:25.455000+00:00,2011-10-10 17:23:27.060000+00:00,173796,BT,45
64,173796_O_CANCELLED_64,O_CANCELLED,COMPLETE,2011-10-10 17:23:53.999000+00:00,2011-10-10 17:23:53.999000+00:00,173796,BT,45
65,173796_A_CANCELLED_65,A_CANCELLED,COMPLETE,2011-10-10 17:23:53.999000+00:00,2011-10-10 17:23:53.999000+00:00,173796,BT,45
66,173796_W_Nabellen offertes_66,W_Nabellen offertes,COMPLETE,2011-10-10 17:23:40.036000+00:00,2011-10-10 17:23:56.237000+00:00,173796,BT,45
67,173799_A_SUBMITTED_67,A_SUBMITTED,COMPLETE,2011-10-01 20:27:34.477000+00:00,2011-10-01 20:27:34.477000+00:00,173799,AA,0
68,173799_A_PARTLYSUBMITTED_68,A_PARTLYSUBMITTED,COMPLETE,2011-10-01 20:27:34.604000+00:00,2011-10-01 20:27:34.604000+00:00,173799,AA,0
69,173799_A_PREACCEPTED_69,A_PREACCEPTED,COMPLETE,2011-10-01 20:28:25.400000+00:00,2011-10-01 20:28:25.400000+00:00,173799,AA,0
70,173799_W_Completeren aanvraag_70,W_Completeren aanvraag,COMPLETE,2011-10-03 09:32:25.253000+00:00,2011-10-03 09:35:35.736000+00:00,173799,BQ,42
