Unnamed: 0,elementId,activity_name,lifecycle:transition,start_timestamp,end_timestamp,case_id,resource,agent
17,173709_W_Completeren aanvraag_17,W_Completeren aanvraag,COMPLETE,2011-10-10 17:42:24.738000+00:00,2011-10-10 17:43:13.290000+00:00,173709,BC,28
63,173796_W_Nabellen offertes_63,W_Nabellen offertes,COMPLETE,2011-10-10 17:23:25.455000+00:00,2011-10-10 17:23:27.060000+00:00,173796,BT,45
64,173796_O_CANCELLED_64,O_CANCELLED,COMPLETE,2011-10-10 17:23:53.999000+00:00,2011-10-10 17:23:53.999000+00:00,173796,BT,45
65,173796_A_CANCELLED_65,A_CANCELLED,COMPLETE,2011-10-10 17:23:53.999000+00:00,2011-10-10 17:23:53.999000+00:00,173796,BT,45
66,173796_W_Nabellen offertes_66,W_Nabellen offertes,COMPLETE,2011-10-10 17:23:40.036000+00:00,2011-10-10 17:23:56.237000+00:00,173796,BT,45
93,173817_O_SENT_BACK_93,O_SENT_BACK,COMPLETE,2011-10-07 13:23:32.793000+00:00,2011-10-07 13:23:32.793000+00:00,173817,AP,15
94,173817_W_Nabellen offertes_94,W_Nabellen offertes,COMPLETE,2011-10-07 13:23:20.979000+00:00,2011-10-07 13:23:34.131000+00:00,173817,AP,15
95,173817_O_DECLINED_95,O_DECLINED,COMPLETE,2011-10-11 09:15:45.243000+00:00,2011-10-11 09:15:45.243000+00:00,173817,AF,5
96,173817_A_DECLINED_96,A_DECLINED,COMPLETE,2011-10-11 09:15:45.243000+00:00,2011-10-11 09:15:45.243000+00:00,173817,AF,5
97,173817_W_Valideren aanvraag_97,W_Valideren aanvraag,COMPLETE,2011-10-11 09:00:57.125000+00:00,2011-10-11 09:15:48.288000+00:00,173817,AF,5
118,173844_O_SENT_BACK_118,O_SENT_BACK,COMPLETE,2011-10-10 10:17:48.189000+00:00,2011-10-10 10:17:48.189000+00:00,173844,BJ,35
119,173844_W_Nabellen offertes_119,W_Nabellen offertes,COMPLETE,2011-10-10 10:17:24.272000+00:00,2011-10-10 10:17:49.568000+00:00,173844,BJ,35
120,173844_O_ACCEPTED_120,O_ACCEPTED,COMPLETE,2011-10-11 14:57:01.617000+00:00,2011-10-11 14:57:01.617000+00:00,173844,AG,6
121,173844_A_APPROVED_121,A_APPROVED,COMPLETE,2011-10-11 14:57:01.617000+00:00,2011-10-11 14:57:01.617000+00:00,173844,AG,6
122,173844_A_REGISTERED_122,A_REGISTERED,COMPLETE,2011-10-11 14:57:01.618000+00:00,2011-10-11 14:57:01.618000+00:00,173844,AG,6
