elementId,processId,activity_name,lifecycle:transition,assign_timestamp,start_timestamp,end_timestamp,case_id,resource,agent
sid-6305CEC6-25BA-4B0F-8CF1-2AD6F76D8B9E,cvs_pharmacy,Pick-up,COMPLETE,2019-03-28 19:03:12.331000+00:00,2019-03-29 09:10:48.142000+00:00,2019-03-29 09:13:19.643000+00:00,701,Technician-000002,3
sid-6305CEC6-25BA-4B0F-8CF1-2AD6F76D8B9E,cvs_pharmacy,Pick-up,COMPLETE,2019-03-28 18:16:49.983000+00:00,2019-03-29 08:12:49.591000+00:00,2019-03-29 08:15:22.472000+00:00,713,Technician-000001,2
sid-6305CEC6-25BA-4B0F-8CF1-2AD6F76D8B9E,cvs_pharmacy,Pick-up,COMPLETE,2019-03-28 18:27:39.579000+00:00,2019-03-29 08:24:54.886000+00:00,2019-03-29 08:27:11.288000+00:00,720,Technician-000001,2
sid-6305CEC6-25BA-4B0F-8CF1-2AD6F76D8B9E,cvs_pharmacy,Pick-up,COMPLETE,2019-03-28 18:24:00.904000+00:00,2019-03-29 08:20:28.130000+00:00,2019-03-29 08:23:07.541000+00:00,721,Technician-000003,4
sid-6305CEC6-25BA-4B0F-8CF1-2AD6F76D8B9E,cvs_pharmacy,Pick-up,COMPLETE,2019-03-28 18:30:05.894000+00:00,2019-03-29 08:27:11.288000+00:00,2019-03-29 08:29:24.633000+00:00,723,Technician-000001,2
sid-6305CEC6-25BA-4B0F-8CF1-2AD6F76D8B9E,cvs_pharmacy,Pick-up,COMPLETE,2019-03-28 19:06:14.559000+00:00,2019-03-29 09:13:19.643000+00:00,2019-03-29 09:16:08.987000+00:00,725,Technician-000002,3
sid-6305CEC6-25BA-4B0F-8CF1-2AD6F76D8B9E,cvs_pharmacy,Pick-up,COMPLETE,2019-03-28 19:48:11.443000+00:00,2019-03-29 09:50:41.372000+00:00,2019-03-29 09:53:10.910000+00:00,737,Technician-000002,3
sid-6305CEC6-25BA-4B0F-8CF1-2AD6F76D8B9E,cvs_pharmacy,Pick-up,COMPLETE,2019-03-28 18:12:14.246000+00:00,2019-03-29 08:09:22.437000+00:00,2019-03-29 08:11:39.674000+00:00,743,Technician-000003,4
sid-6305CEC6-25BA-4B0F-8CF1-2AD6F76D8B9E,cvs_pharmacy,Pick-up,COMPLETE,2019-03-28 18:13:11.825000+00:00,2019-03-29 08:10:30.497000+00:00,2019-03-29 08:12:49.591000+00:00,745,Technician-000001,2
sid-6305CEC6-25BA-4B0F-8CF1-2AD6F76D8B9E,cvs_pharmacy,Pick-up,COMPLETE,2019-03-28 18:10:16.415000+00:00,2019-03-29 08:06:22.803000+00:00,2019-03-29 08:09:22.437000+00:00,746,Technician-000003,4
sid-6305CEC6-25BA-4B0F-8CF1-2AD6F76D8B9E,cvs_pharmacy,Pick-up,COMPLETE,2019-03-28 18:11:18.152000+00:00,2019-03-29 08:06:38.085000+00:00,2019-03-29 08:09:36.531000+00:00,747,Technician-000002,3
sid-6305CEC6-25BA-4B0F-8CF1-2AD6F76D8B9E,cvs_pharmacy,Pick-up,COMPLETE,2019-03-28 18:26:47.274000+00:00,2019-03-29 08:22:49.502000+00:00,2019-03-29 08:25:23.107000+00:00,748,Technician-000002,3
sid-6305CEC6-25BA-4B0F-8CF1-2AD6F76D8B9E,cvs_pharmacy,Pick-up,COMPLETE,2019-03-28 18:32:04.908000+00:00,2019-03-29 08:28:54.847000+00:00,2019-03-29 08:31:26.090000+00:00,749,Technician-000003,4
