elementId,processId,activity_name,lifecycle:transition,assign_timestamp,start_timestamp,end_timestamp,case_id,resource,agent
sid-B116665C-63B7-4D81-A47A-358CE898E122,cvs_pharmacy,Process drop-off,COMPLETE,2019-03-25 08:00:00+00:00,2019-03-25 08:00:00+00:00,2019-03-25 08:01:41.348000+00:00,0,Technician-000001,2
sid-B9F72F21-DC8A-4873-9E04-B19ED7381ADC,cvs_pharmacy,Enter prescription details,COMPLETE,2019-03-25 08:01:41.348000+00:00,2019-03-25 08:01:41.348000+00:00,2019-03-25 08:04:13.469000+00:00,0,Technician-000006,7
sid-0B0AE587-EE27-414E-A051-D91E1866E1C3,cvs_pharmacy,Check if refill is allowed,COMPLETE,2019-03-25 08:04:13.469000+00:00,2019-03-25 08:04:13.469000+00:00,2019-03-25 08:04:13.469000+00:00,0,Pharmacy System-000001,1
sid-2B439B6B-4DD1-4D40-902D-43B7C4F215AB,cvs_pharmacy,Check DUR,COMPLETE,2019-03-25 08:04:13.469000+00:00,2019-03-25 08:04:13.469000+00:00,2019-03-25 08:04:13.469000+00:00,0,Pharmacy System-000001,1
sid-A4A84A0D-A58B-4650-A3F2-D1967DB8C146,cvs_pharmacy,Pack the drugs (Production),COMPLETE,2019-03-25 08:04:13.469000+00:00,2019-03-25 08:04:13.469000+00:00,2019-03-25 08:07:10.903000+00:00,0,Technician-000007,8
sid-D859AC4F-3984-4A6B-8366-62B226C4DD53,cvs_pharmacy,Check Insurance,COMPLETE,2019-03-25 08:04:13.469000+00:00,2019-03-25 08:04:13.469000+00:00,2019-03-25 08:04:13.469000+00:00,0,Pharmacy System-000001,1
sid-18F562AE-0F3A-489F-8660-38E177904BB0,cvs_pharmacy,Check for Quality Assurance,COMPLETE,2019-03-25 08:07:10.903000+00:00,2019-03-25 08:07:10.903000+00:00,2019-03-25 08:08:06.746000+00:00,0,Pharmacist-000001,0
sid-6305CEC6-25BA-4B0F-8CF1-2AD6F76D8B9E,cvs_pharmacy,Pick-up,COMPLETE,2019-03-25 08:08:06.746000+00:00,2019-03-25 08:08:06.746000+00:00,2019-03-25 08:11:00.170000+00:00,0,Technician-000004,5
sid-B116665C-63B7-4D81-A47A-358CE898E122,cvs_pharmacy,Process drop-off,COMPLETE,2019-03-25 08:03:41.641000+00:00,2019-03-25 08:03:41.641000+00:00,2019-03-25 08:05:24.133000+00:00,1,Technician-000003,4
sid-B9F72F21-DC8A-4873-9E04-B19ED7381ADC,cvs_pharmacy,Enter prescription details,COMPLETE,2019-03-25 08:05:24.133000+00:00,2019-03-25 08:05:24.133000+00:00,2019-03-25 08:08:19.763000+00:00,1,Technician-000005,6
sid-0B0AE587-EE27-414E-A051-D91E1866E1C3,cvs_pharmacy,Check if refill is allowed,COMPLETE,2019-03-25 08:08:19.763000+00:00,2019-03-25 08:08:19.763000+00:00,2019-03-25 08:08:19.763000+00:00,1,Pharmacy System-000001,1
sid-2B439B6B-4DD1-4D40-902D-43B7C4F215AB,cvs_pharmacy,Check DUR,COMPLETE,2019-03-25 08:08:19.763000+00:00,2019-03-25 08:08:19.763000+00:00,2019-03-25 08:08:19.763000+00:00,1,Pharmacy System-000001,1
sid-2D8F96BD-C99A-4D36-A951-AC29CB4A1B4A,cvs_pharmacy,Resolve DUR manually,COMPLETE,2019-03-25 08:08:19.763000+00:00,2019-03-25 08:08:19.763000+00:00,2019-03-25 08:08:47.210000+00:00,1,Pharmacist-000001,0
sid-A4A84A0D-A58B-4650-A3F2-D1967DB8C146,cvs_pharmacy,Pack the drugs (Production),COMPLETE,2019-03-25 08:08:47.210000+00:00,2019-03-25 08:08:47.210000+00:00,2019-03-25 08:11:46.970000+00:00,1,Technician-000002,3
sid-D859AC4F-3984-4A6B-8366-62B226C4DD53,cvs_pharmacy,Check Insurance,COMPLETE,2019-03-25 08:08:47.210000+00:00,2019-03-25 08:08:47.210000+00:00,2019-03-25 08:08:47.210000+00:00,1,Pharmacy System-000001,1
sid-18F562AE-0F3A-489F-8660-38E177904BB0,cvs_pharmacy,Check for Quality Assurance,COMPLETE,2019-03-25 08:11:46.970000+00:00,2019-03-25 08:11:46.970000+00:00,2019-03-25 08:12:56.671000+00:00,1,Pharmacist-000001,0
sid-6305CEC6-25BA-4B0F-8CF1-2AD6F76D8B9E,cvs_pharmacy,Pick-up,COMPLETE,2019-03-25 08:12:56.671000+00:00,2019-03-25 08:13:14.655000+00:00,2019-03-25 08:15:52.639000+00:00,1,Technician-000007,8
sid-B116665C-63B7-4D81-A47A-358CE898E122,cvs_pharmacy,Process drop-off,COMPLETE,2019-03-25 08:06:05.127000+00:00,2019-03-25 08:06:05.127000+00:00,2019-03-25 08:07:31.269000+00:00,2,Technician-000008,9
sid-B9F72F21-DC8A-4873-9E04-B19ED7381ADC,cvs_pharmacy,Enter prescription details,COMPLETE,2019-03-25 08:07:31.269000+00:00,2019-03-25 08:07:31.269000+00:00,2019-03-25 08:09:43.513000+00:00,2,Technician-000006,7
