case_id,resource,activity,start_time,end_time
12,Loan Officer-000002,Design loan offer,2023-02-10 07:11:08.645000+00:00,2023-02-10 07:12:05.191000+00:00
11,Clerk-000004,Approve application,2023-02-10 07:09:11.266000+00:00,2023-02-10 07:14:11.266000+00:00
12,Senior Officer-000002,Approve loan offer,2023-02-10 07:12:05.191000+00:00,2023-02-10 07:32:05.191000+00:00
14,AML Investigator-000001,AML check,2023-02-10 07:25:02.611000+00:00,2023-02-10 07:32:40.898000+00:00
14,Appraiser-000001,Appraise property,2023-02-10 07:25:02.611000+00:00,2023-02-10 07:35:00.307000+00:00
12,Clerk-000006,Approve application,2023-02-10 07:32:05.191000+00:00,2023-02-10 07:37:05.191000+00:00
15,Clerk-000002,Check application form completeness,2023-02-10 07:30:00+00:00,2023-02-10 07:39:18.659000+00:00
14,Clerk-000003,Check credit history,2023-02-10 07:25:02.611000+00:00,2023-02-10 07:42:17.493000+00:00
13,Clerk-000005,Return application back to applicant,2023-02-10 07:42:33.186000+00:00,2023-02-10 07:47:33.186000+00:00
15,Appraiser-000002,Appraise property,2023-02-10 07:39:18.659000+00:00,2023-02-10 07:55:16.357000+00:00
14,Loan Officer-000004,Assess loan risk,2023-02-10 07:42:17.493000+00:00,2023-02-10 08:02:17.493000+00:00
16,Clerk-000004,Check application form completeness,2023-02-10 08:00:00+00:00,2023-02-10 08:04:08.094000+00:00
15,AML Investigator-000002,AML check,2023-02-10 07:39:18.659000+00:00,2023-02-10 08:05:06.931000+00:00
15,Clerk-000001,Check credit history,2023-02-10 07:39:18.659000+00:00,2023-02-10 08:06:38.873000+00:00
14,Clerk-000008,Reject application,2023-02-10 08:02:17.493000+00:00,2023-02-10 08:12:17.493000+00:00
16,Clerk-000006,Check credit history,2023-02-10 08:04:08.094000+00:00,2023-02-10 08:12:50.966000+00:00
16,AML Investigator-000001,AML check,2023-02-10 08:04:08.094000+00:00,2023-02-10 08:21:12.906000+00:00
15,Loan Officer-000003,Assess loan risk,2023-02-10 08:06:38.873000+00:00,2023-02-10 08:26:38.873000+00:00
15,Clerk-000002,Reject application,2023-02-10 08:26:38.873000+00:00,2023-02-10 08:36:38.873000+00:00
16,Appraiser-000001,Appraise property,2023-02-10 08:04:08.094000+00:00,2023-02-10 08:37:51.821000+00:00
13,Applicant-000001,Applicant completes form,2023-02-10 07:47:33.186000+00:00,2023-02-10 08:47:33.186000+00:00
16,Loan Officer-000001,Assess loan risk,2023-02-10 08:37:51.821000+00:00,2023-02-10 08:57:51.821000+00:00
13,Clerk-000007,Check application form completeness,2023-02-10 08:47:33.186000+00:00,2023-02-10 09:07:57.007000+00:00
16,Loan Officer-000002,Design loan offer,2023-02-10 08:57:51.821000+00:00,2023-02-10 09:08:46.942000+00:00
13,Clerk-000004,Check credit history,2023-02-10 09:07:57.007000+00:00,2023-02-10 09:16:48.261000+00:00
18,Clerk-000005,Check application form completeness,2023-02-10 09:00:00+00:00,2023-02-10 09:19:36.335000+00:00
16,Senior Officer-000001,Approve loan offer,2023-02-10 09:08:46.942000+00:00,2023-02-10 09:28:46.942000+00:00
18,AML Investigator-000001,AML check,2023-02-10 09:19:36.335000+00:00,2023-02-10 09:31:14.054000+00:00
16,Clerk-000008,Approve application,2023-02-10 09:28:46.942000+00:00,2023-02-10 09:33:46.942000+00:00
18,Clerk-000001,Check credit history,2023-02-10 09:19:36.335000+00:00,2023-02-10 09:34:28.107000+00:00
13,AML Investigator-000002,AML check,2023-02-10 09:07:57.007000+00:00,2023-02-10 09:47:01.830000+00:00
17,Clerk-000003,Check application form completeness,2023-02-10 08:30:00+00:00,2023-02-10 09:49:48.271000+00:00
13,Appraiser-000002,Appraise property,2023-02-10 09:07:57.007000+00:00,2023-02-10 09:59:18.744000+00:00
17,Appraiser-000002,Appraise property,2023-02-10 09:59:18.744000+00:00,2023-02-10 10:04:07+00:00
18,Appraiser-000001,Appraise property,2023-02-10 09:19:36.335000+00:00,2023-02-10 10:06:35.679000+00:00
19,Clerk-000006,Check application form completeness,2023-02-10 09:30:00+00:00,2023-02-10 10:06:40.931000+00:00
19,AML Investigator-000002,AML check,2023-02-10 10:06:40.931000+00:00,2023-02-10 10:11:22.495000+00:00
17,AML Investigator-000001,AML check,2023-02-10 09:49:48.271000+00:00,2023-02-10 10:11:37.661000+00:00
20,Clerk-000007,Check application form completeness,2023-02-10 10:00:00+00:00,2023-02-10 10:16:55.378000+00:00
13,Loan Officer-000004,Assess loan risk,2023-02-10 09:59:18.744000+00:00,2023-02-10 10:19:18.744000+00:00
13,Loan Officer-000001,Design loan offer,2023-02-10 10:19:18.744000+00:00,2023-02-10 10:22:26.346000+00:00
18,Loan Officer-000003,Assess loan risk,2023-02-10 10:06:35.679000+00:00,2023-02-10 10:26:35.679000+00:00
20,AML Investigator-000002,AML check,2023-02-10 10:16:55.378000+00:00,2023-02-10 10:26:52.236000+00:00
20,Clerk-000005,Check credit history,2023-02-10 10:16:55.378000+00:00,2023-02-10 10:29:20.379000+00:00
20,Appraiser-000001,Appraise property,2023-02-10 10:16:55.378000+00:00,2023-02-10 10:35:16.846000+00:00
21,Clerk-000008,Check application form completeness,2023-02-10 10:30:00+00:00,2023-02-10 10:40:41.305000+00:00
13,Senior Officer-000002,Approve loan offer,2023-02-10 10:22:26.346000+00:00,2023-02-10 10:42:26.346000+00:00
18,Loan Officer-000002,Design loan offer,2023-02-10 10:26:35.679000+00:00,2023-02-10 10:43:17.476000+00:00
